company_name,business_role,focus_segments,geography,website,contact_channel,trading_priority,machine_fit,why_relevant,next_action
Oversys,Used machinery dealer,Fruit packaging lines; sorting; packing,Europe; Spain,https://www.oversys.eu/es/segunda-mano,Web form + phone,HIGH,3 fruit lines,Known used-equipment seller in Iberia with immediate inventory,Create supplier account and request live stock list
Alpine Machinery,Used machinery dealer,Corrugated and converting equipment,North America; global exports,https://www.alpinemachinery.com/,Web form + sales email,HIGH,Flexo folder gluer,Strong source for corrugated/converting deals and buyer visibility,Schedule intro call and exchange wanted-machine brief
Papertek,Used machinery dealer,Pulp; paper; packaging machinery,Europe; global,https://www.papertek.de/en/,Web form + direct contact,HIGH,3 fruit lines + FFG adjacent,Specialized in paper and packaging assets with cross-border reach,Request monthly offer feed and sold-history data
Exapro,Marketplace,Multi-industry used machinery,Global,https://www.exapro.com,Marketplace messaging,HIGH,3 fruit lines + FFG,High listing volume useful for pricing benchmarks and lead intent,Automate daily scrape for targeted keywords
Kitmondo,Marketplace,Packaging; printing; processing,Global,https://www.kitmondo.com,Marketplace messaging,HIGH,3 fruit lines + FFG,Good buyer/seller activity and broad machine categories,Create alerts by machine model and budget range
Machineseeker,Marketplace,Industrial machinery listings,Europe-centric,https://www.machineseeker.com,Marketplace messaging,MEDIUM,3 fruit lines + FFG,Useful secondary source for demand and pricing spreads,Run 48h crawl and compare ask prices vs Exapro
Machinio,Marketplace aggregator,Industrial machinery aggregation,Global,https://www.machinio.com,Marketplace messaging,MEDIUM,3 fruit lines + FFG,Broad aggregation helps discover hidden brokers and listings,Use as discovery layer and qualify external brokers
Surplex,Auction platform,Industrial and packaging equipment,Europe,https://www.surplex.com,Platform contact,MEDIUM,FFG and peripherals,Auction dynamics reveal distressed assets and fast-close opportunities,Track auction calendars and build bid/no-bid rules
Troostwijk Auctions,Auction platform,Industrial asset auctions,Europe,https://www.troostwijkauctions.com,Platform contact,MEDIUM,FFG and peripherals,Auction data useful for market clearing price intelligence,Add auction outcomes into pricing model
SIGMA Equipment,Dealer/marketplace,Packaging and processing machinery,US; global exports,https://www.sigmaequipment.com,Web form + phone,MEDIUM,3 fruit lines,Relevant for food/packaging buyer demand signals,Open partner channel for inbound buyer referrals
EquipNet,Dealer/marketplace,Industrial and packaging assets,Global,https://www.equipnet.com,Web form,MEDIUM,3 fruit lines + FFG,Strong in used asset lifecycle and remarketing workflows,Study consignment model and replicate contract terms
Aaron Equipment,Used equipment dealer,Processing and packaging machinery,US; global,https://www.aaronequipment.com,Web form + phone,MEDIUM,3 fruit lines,Potential buyer source in food and packaging verticals,Prepare outreach sequence for distributor partnerships
FEFCO,Industry association,Corrugated industry network,Europe,https://www.fefco.org,Association channels,MEDIUM,FFG ecosystem,Source of market structure and member intelligence,Map member companies and flag prospect accounts
CCCA,Industry association,Corrugated sector network,Canada/North America,https://cccabox.org,Association channels,LOW,FFG ecosystem,Supports regional expansion intelligence and target mapping,Extract member list and segment by plant size
SinoCorrugated / WEPACK,Trade fair ecosystem,Corrugated machinery and suppliers,Asia; global,https://www.sino-corrugated.com,Event directory,MEDIUM,FFG ecosystem,Useful to identify exporters and cross-border competitors,Track exhibitor data and enrich CRM accounts
SuperCorrExpo,Trade fair ecosystem,Corrugated technology and suppliers,North America,https://www.supercorrexpo.org,Event directory,MEDIUM,FFG ecosystem,Decision-maker concentration for outbound and partnerships,Build pre-event outreach campaign list
PaperAge,Industry media,Packaging and paper industry news,North America; global,https://www.paperage.com,Editorial/news,LOW,3 fruit lines + FFG signals,Good source for expansion or closure signals,Automate signal extraction for CAPEX and shutdown events
TAPPI,Technical association,Packaging and paper technical community,Global,https://www.tappi.org,Association channels,LOW,FFG ecosystem,Adds technical and buyer-intent context for qualification,Use technical events to identify likely modernization buyers
